Security,RSVR US Equity,,,,,
Start Date,1/8/2021 0:00,,,,,
End Date,3/21/2025 0:00,,,,,
Period,W,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
9/10/2021,9.55,0.37,4.030501089,9.54,0.39,4.262295082
9/3/2021,9.18,0.98,11.95121951,9.15,1.01,12.40786241
8/27/2021,8.2,0.73,9.772423025,8.14,0.7,9.408602151
8/20/2021,7.47,-0.13,-1.710526316,7.44,-0.15,-1.976284585
8/13/2021,7.6,0.22,2.98102981,7.59,0.21,2.845528455
8/6/2021,7.38,-1.62,-18,7.38,-1.58,-17.63392857
7/30/2021,9,-0.585,-6.103286385,8.96,-0.61,-6.374085684
7/23/2021,9.585,-0.385,-3.861584754,9.57,-0.4,-4.012036108
7/16/2021,9.97,0.01,0.100401606,9.97,0.01,0.100401606
7/9/2021,9.96,0.03,0.302114804,9.96,0.03,0.302114804
7/2/2021,9.93,0.01,0.100806452,9.93,0.01,0.100806452
6/25/2021,9.92,0,0,9.92,0,0
6/18/2021,9.92,-0.08,-0.8,9.92,-0.04,-0.401606426
6/11/2021,10,0.08,0.806451613,9.96,0.05,0.504540868
6/4/2021,9.92,0.03,0.303336704,9.91,0.03,0.303643725
5/28/2021,9.89,-0.03,-0.302419355,9.88,-0.02,-0.202020202
5/21/2021,9.92,-0.14,-1.391650099,9.9,-0.16,-1.590457256
5/14/2021,10.06,-0.05,-0.494559842,10.06,-0.04,-0.396039604
5/7/2021,10.11,-0.66,-6.128133705,10.1,-0.68,-6.307977737
4/30/2021,10.77,0.78,7.807807808,10.78,0.79,7.907907908
4/23/2021,9.99,0.06,0.604229607,9.99,0.06,0.604229607
4/16/2021,9.93,-0.14,-1.390268123,9.93,-0.12,-1.194029851
4/9/2021,10.07,0.16,1.614530777,10.05,0.15,1.515151515
4/2/2021,9.91,-0.02,-0.201409869,9.9,-0.01,-0.100908174
3/26/2021,9.93,-0.2,-1.974333662,9.91,-0.21,-2.075098814
3/19/2021,10.13,-0.04,-0.393313668,10.12,-0.04,-0.393700787
3/12/2021,10.17,0,0,10.16,0.04,0.395256917
3/5/2021,10.17,-0.44,-4.147031103,10.12,-0.45,-4.257332072
2/26/2021,10.61,-0.87,-7.578397213,10.57,-0.83,-7.280701754
2/19/2021,11.48,0.685,6.345530338,11.4,0.63,5.849582173
2/12/2021,10.795,0.115,1.076779026,10.77,0.12,1.126760563
2/5/2021,10.68,0.18,1.714285714,10.65,0.15,1.428571429
1/29/2021,10.5,-0.03,-0.284900285,10.5,-0.02,-0.190114068
1/22/2021,10.53,0.1,0.958772771,10.52,0.09,0.862895494
1/15/2021,10.43,0.33,3.267326733,10.43,0.33,3.267326733
1/8/2021,10.1,,,10.1,,
