Date,close_week_average
6/26/2024,5467.684
6/25/2024,5467.684
6/24/2024,5467.684
6/21/2024,5474.5125
6/20/2024,5474.5125
6/18/2024,5474.5125
6/17/2024,5474.5125
6/14/2024,5404.496
6/13/2024,5404.496
6/12/2024,5404.496
6/11/2024,5404.496
6/10/2024,5404.496
6/7/2024,5325.744
6/6/2024,5325.744
6/5/2024,5325.744
6/4/2024,5325.744
6/3/2024,5325.744
5/31/2024,5271.495
5/30/2024,5271.495
5/29/2024,5271.495
5/28/2024,5271.495
5/24/2024,5301.822
5/23/2024,5301.822
5/22/2024,5301.822
5/21/2024,5301.822
5/20/2024,5301.822
5/17/2024,5275.324
5/16/2024,5275.324
5/15/2024,5275.324
5/14/2024,5275.324
5/13/2024,5275.324
5/10/2024,5198.574
5/9/2024,5198.574
5/8/2024,5198.574
5/7/2024,5198.574
5/6/2024,5198.574
5/3/2024,5072.448
5/2/2024,5072.448
5/1/2024,5072.448
4/30/2024,5072.448
4/29/2024,5072.448
4/26/2024,5060.232
4/25/2024,5060.232
4/24/2024,5060.232
4/23/2024,5060.232
4/22/2024,5060.232
4/19/2024,5022.758
4/18/2024,5022.758
4/17/2024,5022.758
4/16/2024,5022.758
4/15/2024,5022.758
4/12/2024,5179.082
4/11/2024,5179.082
4/10/2024,5179.082
4/9/2024,5179.082
4/8/2024,5179.082
4/5/2024,5202.524
4/4/2024,5202.524
4/3/2024,5202.524
4/2/2024,5202.524
4/1/2024,5202.524
3/28/2024,5231.1525
3/27/2024,5231.1525
3/26/2024,5231.1525
3/25/2024,5231.1525
3/22/2024,5205.652
3/21/2024,5205.652
3/20/2024,5205.652
3/19/2024,5205.652
3/18/2024,5205.652
3/15/2024,5145.218
3/14/2024,5145.218
3/13/2024,5145.218
3/12/2024,5145.218
3/11/2024,5145.218
3/8/2024,5119.082
3/7/2024,5119.082
3/6/2024,5119.082
3/5/2024,5119.082
3/4/2024,5119.082
3/1/2024,5090.164
2/29/2024,5090.164
2/28/2024,5090.164
2/27/2024,5090.164
2/26/2024,5090.164
2/23/2024,5033.285
2/22/2024,5033.285
2/21/2024,5033.285
2/20/2024,5033.285
2/16/2024,5002.186
2/15/2024,5002.186
2/14/2024,5002.186
2/13/2024,5002.186
2/12/2024,5002.186
2/9/2024,4983.324
2/8/2024,4983.324
2/7/2024,4983.324
2/6/2024,4983.324
2/5/2024,4983.324
2/2/2024,4912.67
2/1/2024,4912.67
1/31/2024,4912.67
1/30/2024,4912.67
1/29/2024,4912.67
1/26/2024,4873.742
1/25/2024,4873.742
1/24/2024,4873.742
1/23/2024,4873.742
1/22/2024,4873.742
1/19/2024,4781.485
1/18/2024,4781.485
1/17/2024,4781.485
1/16/2024,4781.485
1/12/2024,4773.512
1/11/2024,4773.512
1/10/2024,4773.512
1/9/2024,4773.512
1/8/2024,4773.512
1/5/2024,4708.39
1/4/2024,4708.39
1/3/2024,4708.39
1/2/2024,4708.39
12/29/2023,4777.3775
12/28/2023,4777.3775
12/27/2023,4777.3775
12/26/2023,4777.3775
12/22/2023,4741.732
12/21/2023,4741.732
12/20/2023,4741.732
12/19/2023,4741.732
12/18/2023,4741.732
12/15/2023,4682.394
12/14/2023,4682.394
12/13/2023,4682.394
12/12/2023,4682.394
12/11/2023,4682.394
12/8/2023,4575.252
12/7/2023,4575.252
12/6/2023,4575.252
12/5/2023,4575.252
12/4/2023,4575.252
12/1/2023,4563.666
11/30/2023,4563.666
11/29/2023,4563.666
11/28/2023,4563.666
11/27/2023,4563.666
11/24/2023,4550.3825
11/22/2023,4550.3825
11/21/2023,4550.3825
11/20/2023,4550.3825
11/17/2023,4486.478
11/16/2023,4486.478
11/15/2023,4486.478
11/14/2023,4486.478
11/13/2023,4486.478
11/10/2023,4377.946
