"Date","tech"
2022-08-31,6483.236
2022-08-30,6483.236
2022-08-29,6483.236
2022-08-26,6884.044
2022-08-25,6884.044
2022-08-24,6884.044
2022-08-23,6884.044
2022-08-22,6884.044
2022-08-19,7303.112
2022-08-18,7303.112
2022-08-17,7303.112
2022-08-16,7303.112
2022-08-15,7303.112
2022-08-12,7268.354
2022-08-11,7268.354
2022-08-10,7268.354
2022-08-09,7268.354
2022-08-08,7268.354
2022-08-05,7192.258
2022-08-04,7192.258
2022-08-03,7192.258
2022-08-02,7192.258
2022-08-01,7192.258
2022-07-29,6828.02
2022-07-28,6828.02
2022-07-27,6828.02
2022-07-26,6828.02
2022-07-25,6828.02
2022-07-22,6755.71
2022-07-21,6755.71
2022-07-20,6755.71
2022-07-19,6755.71
2022-07-18,6755.71
2022-07-15,6379.018
2022-07-14,6379.018
2022-07-13,6379.018
2022-07-12,6379.018
2022-07-11,6379.018
2022-07-08,6523.035
2022-07-07,6523.035
2022-07-06,6523.035
2022-07-05,6523.035
2022-07-01,6377.08
2022-06-30,6377.08
2022-06-29,6377.08
2022-06-28,6377.08
2022-06-27,6377.08
2022-06-24,6421.21
2022-06-23,6421.21
2022-06-22,6421.21
2022-06-21,6421.21
2022-06-17,6211.96
2022-06-16,6211.96
2022-06-15,6211.96
2022-06-14,6211.96
2022-06-13,6211.96
2022-06-10,6987.75
2022-06-09,6987.75
2022-06-08,6987.75
2022-06-07,6987.75
2022-06-06,6987.75
2022-06-03,7093.94
2022-06-02,7093.94
2022-06-01,7093.94
2022-05-31,7093.94
2022-05-27,6746.578
2022-05-26,6746.578
2022-05-25,6746.578
2022-05-24,6746.578
2022-05-23,6746.578
2022-05-20,6624.72
2022-05-19,6624.72
2022-05-18,6624.72
2022-05-17,6624.72
2022-05-16,6624.72
2022-05-13,6544.314
2022-05-12,6544.314
2022-05-11,6544.314
2022-05-10,6544.314
2022-05-09,6544.314
2022-05-06,7197.604
2022-05-05,7197.604
2022-05-04,7197.604
2022-05-03,7197.604
2022-05-02,7197.604
2022-04-29,7240.72
2022-04-28,7240.72
2022-04-27,7240.72
2022-04-26,7240.72
2022-04-25,7240.72
2022-04-22,7563.586
2022-04-21,7563.586
2022-04-20,7563.586
2022-04-19,7563.586
2022-04-18,7563.586
2022-04-14,7704.2825
2022-04-13,7704.2825
2022-04-12,7704.2825
2022-04-11,7704.2825
2022-04-08,8098.368
2022-04-07,8098.368
2022-04-06,8098.368
