Security,LYV US Equity,,,,,
Start Date,7/10/2020 0:00,,,,,
End Date,3/21/2025 0:00,,,,,
Period,W,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
6/2/2023,82.83,0.68,0.827754108,82.79,0.66,0.803604042
5/26/2023,82.15,-2.58,-3.044966364,82.13,-2.6,-3.068570754
5/19/2023,84.73,6.58,8.419705694,84.73,6.61,8.461341526
5/12/2023,78.15,0.99,1.283048212,78.12,0.97,1.257290992
5/5/2023,77.16,9.38,13.83889053,77.15,9.37,13.82413691
4/28/2023,67.78,0.8,1.194386384,67.78,0.82,1.224611708
4/21/2023,66.98,-1.98,-2.871229698,66.96,-2,-2.900232019
4/14/2023,68.96,-0.17,-0.245913496,68.96,-0.14,-0.20260492
4/7/2023,69.13,-0.87,-1.242857143,69.1,-0.94,-1.342090234
3/31/2023,70,4.05,6.141015921,70.04,4.07,6.169470972
3/24/2023,65.95,-0.39,-0.587880615,65.97,-0.37,-0.557732891
3/17/2023,66.34,-0.31,-0.465116279,66.34,-0.31,-0.465116279
3/10/2023,66.65,-6.32,-8.6610936,66.65,-6.29,-8.623526186
3/3/2023,72.97,4.19,6.091887177,72.94,4.16,6.048269846
2/24/2023,68.78,-7.61,-9.962036916,68.78,-7.62,-9.97382199
2/17/2023,76.39,-0.02,-0.026174584,76.4,0.01,0.013090719
2/10/2023,76.41,-3.39,-4.248120301,76.39,-3.41,-4.273182957
2/3/2023,79.8,-0.56,-0.696864111,79.8,-0.58,-0.72157253
1/27/2023,80.36,5.25,6.989748369,80.38,5.28,7.030625832
1/20/2023,75.11,0.45,0.602732387,75.1,0.45,0.602813128
1/13/2023,74.66,2.28,3.150041448,74.65,2.3,3.178991016
1/6/2023,72.38,2.64,3.785488959,72.35,2.62,3.757349778
12/30/2022,69.74,-0.95,-1.343895883,69.73,-0.96,-1.358042156
12/23/2022,70.69,1.32,1.902839844,70.69,1.34,1.93222783
12/16/2022,69.37,-2.4,-3.344015605,69.35,-2.41,-3.358416945
12/9/2022,71.77,-2.15,-2.908549784,71.76,-2.19,-2.961460446
12/2/2022,73.92,5.46,7.975460123,73.95,5.45,7.95620438
11/25/2022,68.46,2.25,3.398278206,68.5,2.22,3.349426675
11/18/2022,66.21,-10.49,-13.67666232,66.28,-10.42,-13.58539765
11/11/2022,76.7,5.98,8.455882353,76.7,5.99,8.471220478
11/4/2022,70.72,-9.34,-11.66625031,70.71,-9.31,-11.63459135
10/28/2022,80.06,0.53,0.666415189,80.02,0.43,0.540268878
10/21/2022,79.53,3.75,4.948535234,79.59,3.75,4.944620253
10/14/2022,75.78,-2.83,-3.600050884,75.84,-2.74,-3.486892339
10/7/2022,78.61,2.57,3.379800105,78.58,2.47,3.245302851
9/30/2022,76.04,0.77,1.022983925,76.11,0.81,1.075697211
9/23/2022,75.27,-12.16,-13.90826947,75.3,-12.13,-13.87395631
9/16/2022,87.43,-5.69,-6.110395189,87.43,-5.68,-6.10031146
9/9/2022,93.12,3.48,3.882195448,93.11,3.46,3.85945343
9/2/2022,89.64,-2.16,-2.352941176,89.65,-2.15,-2.34204793
8/26/2022,91.8,-2.48,-2.630462452,91.8,-2.48,-2.630462452
8/19/2022,94.28,-3.61,-3.687812851,94.28,-3.6,-3.677973028
8/12/2022,97.89,1.13,1.16783795,97.88,1.15,1.188876253
8/5/2022,96.76,2.77,2.947122034,96.73,2.8,2.980943256
7/29/2022,93.99,2.41,2.631578947,93.93,2.35,2.566062459
7/22/2022,91.58,7.1,8.404356061,91.58,7.13,8.442865601
7/15/2022,84.48,0.12,0.142247511,84.45,0.1,0.118553646
7/8/2022,84.36,1.3,1.565133638,84.35,1.29,1.553094149
7/1/2022,83.06,-3.74,-4.30875576,83.06,-3.74,-4.30875576
6/24/2022,86.8,2.1,2.479338843,86.8,2.24,2.649006623
6/17/2022,84.7,-7.61,-8.243960568,84.56,-7.7,-8.345978756
6/10/2022,92.31,-2.99,-3.137460651,92.26,-3.03,-3.179767027
6/3/2022,95.3,-0.19,-0.198973715,95.29,-0.18,-0.188540903
5/27/2022,95.49,6.21,6.955645161,95.47,6.17,6.909294513
5/20/2022,89.28,-1.97,-2.15890411,89.3,-1.97,-2.158431029
5/13/2022,91.25,-1.26,-1.362014917,91.27,-0.96,-1.040876071
5/6/2022,92.51,-12.37,-11.79443173,92.23,-12.66,-12.0697874
4/29/2022,104.88,-1.03,-0.972523841,104.89,-1.08,-1.019156365
4/22/2022,105.91,-5.4,-4.851316144,105.97,-5.4,-4.848702523
4/15/2022,111.31,3.43,3.179458658,111.37,3.48,3.225507461
4/8/2022,107.88,-6.49,-5.674565008,107.89,-6.52,-5.698802552
4/1/2022,114.37,-1.93,-1.65950129,114.41,-1.9,-1.633565472
3/25/2022,116.3,3.32,2.938573199,116.31,3.32,2.938313125
3/18/2022,112.98,4.43,4.081068632,112.99,4.44,4.090280977
3/11/2022,108.55,-5.83,-5.097044938,108.55,-5.83,-5.097044938
3/4/2022,114.38,-11.66,-9.251031419,114.38,-11.58,-9.193394728
2/25/2022,126.04,8.6,7.322888283,125.96,8.59,7.318735622
2/18/2022,117.44,1.69,1.460043197,117.37,1.64,1.417091506
2/11/2022,115.75,7.39,6.819859727,115.73,7.4,6.830979415
2/4/2022,108.36,3.09,2.935309205,108.33,3.06,2.906811057
1/28/2022,105.27,-4.47,-4.073264079,105.27,-4.46,-4.064522009
1/21/2022,109.74,-5.07,-4.415991638,109.73,-4.99,-4.34972106
1/14/2022,114.81,-1.05,-0.906266183,114.72,-1.2,-1.035196687
1/7/2022,115.86,-3.83,-3.199933161,115.92,-3.78,-3.157894737
12/31/2021,119.69,1.15,0.970136663,119.7,1.25,1.055297594
12/24/2021,118.54,13.4,12.74491155,118.45,13.29,12.63788513
12/17/2021,105.14,-6.73,-6.015911326,105.16,-6.7,-5.989629895
12/10/2021,111.87,10.94,10.83919548,111.86,10.94,10.84026952
12/3/2021,100.93,-2.6,-2.511349367,100.92,-2.61,-2.521008403
11/26/2021,103.53,-9.01,-8.006042296,103.53,-9.01,-8.006042296
11/19/2021,112.54,0.22,0.195868946,112.54,0.25,0.222637813
11/12/2021,112.32,-11.48,-9.273021002,112.29,-11.49,-9.282598158
11/5/2021,123.8,22.65,22.39248641,123.78,22.65,22.39691486
10/29/2021,101.15,0.4,0.397022333,101.13,0.39,0.3871352
10/22/2021,100.75,-0.82,-0.807324998,100.74,-0.85,-0.836696525
10/15/2021,101.57,3.23,3.284523083,101.59,3.26,3.315366623
10/8/2021,98.34,-0.39,-0.395016712,98.33,-0.4,-0.405145346
10/1/2021,98.73,5.99,6.458917403,98.73,5.99,6.458917403
9/24/2021,92.74,5.91,6.806403317,92.74,5.93,6.831010252
9/17/2021,86.83,0.75,0.871282528,86.81,0.74,0.859765307
9/10/2021,86.08,0,0,86.07,-0.03,-0.034843206
9/3/2021,86.08,-0.82,-0.943613349,86.1,-0.76,-0.874971218
8/27/2021,86.9,6.7,8.354114713,86.86,6.69,8.344767369
8/20/2021,80.2,-1.38,-1.691591076,80.17,-1.4,-1.716317274
8/13/2021,81.58,-3.83,-4.484252429,81.57,-3.82,-4.473591755
8/6/2021,85.41,6.52,8.264672329,85.39,6.46,8.184467249
7/30/2021,78.89,1.18,1.518466092,78.93,1.32,1.700811751
7/23/2021,77.71,-0.82,-1.044186935,77.61,-0.91,-1.158940397
7/16/2021,78.53,-5.13,-6.131962706,78.52,-5.14,-6.14391585
7/9/2021,83.66,-3.63,-4.158551953,83.66,-3.63,-4.158551953
7/2/2021,87.29,-5.31,-5.734341253,87.29,-5.31,-5.734341253
6/25/2021,92.6,6.94,8.101797805,92.6,6.99,8.164934003
6/18/2021,85.66,-1.8,-2.058083695,85.61,-1.8,-2.059260954
6/11/2021,87.46,-1.78,-1.994621246,87.41,-1.83,-2.050649933
6/4/2021,89.24,-0.87,-0.965486627,89.24,-0.87,-0.965486627
5/28/2021,90.11,0.85,0.952274255,90.11,0.91,1.020179372
5/21/2021,89.26,3.46,4.032634033,89.2,3.45,4.023323615
5/14/2021,85.8,5.84,7.303651826,85.75,5.79,7.24112056
5/7/2021,79.96,-1.92,-2.344894968,79.96,-1.85,-2.261337245
4/30/2021,81.88,0.1,0.122279286,81.81,0.03,0.036683786
4/23/2021,81.78,0.79,0.975429065,81.78,0.79,0.975429065
4/16/2021,80.99,-5.01,-5.825581395,80.99,-5,-5.814629608
4/9/2021,86,-2.07,-2.350403088,85.99,-2.09,-2.37284287
4/2/2021,88.07,4.03,4.795335554,88.08,4.09,4.869627337
3/26/2021,84.04,-0.64,-0.75578649,83.99,-0.67,-0.791400898
3/19/2021,84.68,-3.2,-3.641329085,84.66,-3.18,-3.620218579
3/12/2021,87.88,-1.93,-2.148981182,87.84,-1.93,-2.149938732
3/5/2021,89.81,0.95,1.069097457,89.77,0.91,1.024082827
2/26/2021,88.86,0.77,0.874106028,88.86,0.77,0.874106028
2/19/2021,88.09,3.92,4.657241297,88.09,3.92,4.657241297
2/12/2021,84.17,9.83,13.22302932,84.17,9.88,13.29923274
2/5/2021,74.34,7.89,11.87358916,74.29,7.87,11.84884071
1/29/2021,66.45,-5.83,-8.065855008,66.42,-5.8,-8.031016339
1/22/2021,72.28,0.71,0.992035769,72.22,0.64,0.894104498
1/15/2021,71.57,-1.89,-2.57282875,71.58,-1.86,-2.532679739
1/8/2021,73.46,-0.02,-0.027218291,73.44,-0.03,-0.040832993
1/1/2021,73.48,1.84,2.568397543,73.47,1.82,2.540125611
12/25/2020,71.64,-1.79,-2.437695765,71.65,-1.78,-2.424077353
12/18/2020,73.43,2.5,3.52460172,73.43,2.5,3.52460172
12/11/2020,70.93,0.93,1.328571429,70.93,0.88,1.256245539
12/4/2020,70,2.77,4.120184441,70.05,2.81,4.179060083
11/27/2020,67.23,0.92,1.387422712,67.24,0.93,1.402503393
11/20/2020,66.31,0.23,0.348062954,66.31,0.23,0.348062954
11/13/2020,66.08,10.04,17.91577445,66.08,10.02,17.87370674
11/6/2020,56.04,7.24,14.83606557,56.06,7.26,14.87704918
10/30/2020,48.8,-8.36,-14.62561232,48.8,-8.36,-14.62561232
10/23/2020,57.16,2.56,4.688644689,57.16,2.56,4.688644689
10/16/2020,54.6,-2.23,-3.923983811,54.6,-2.23,-3.923983811
10/9/2020,56.83,2.1,3.837018089,56.83,2.13,3.893967093
10/2/2020,54.73,1.49,2.798647633,54.7,1.45,2.723004695
9/25/2020,53.24,-3.75,-6.580101772,53.25,-3.72,-6.529752501
9/18/2020,56.99,-0.15,-0.262513126,56.97,-0.15,-0.262605042
9/11/2020,57.14,-0.44,-0.76415422,57.12,-0.45,-0.781657113
9/4/2020,57.58,-1.13,-1.924714699,57.57,-1.14,-1.941747573
8/28/2020,58.71,7.59,14.84741784,58.71,7.59,14.84741784
8/21/2020,51.12,-0.36,-0.699300699,51.12,-0.36,-0.699300699
8/14/2020,51.48,3.83,8.037775446,51.48,3.85,8.083140878
8/7/2020,47.65,0.84,1.794488357,47.63,0.82,1.751762444
7/31/2020,46.81,-1.11,-2.316360601,46.81,-1.1,-2.295971613
7/24/2020,47.92,-3.12,-6.112852665,47.91,-3.13,-6.132445141
7/17/2020,51.04,4.6,9.905254091,51.04,4.6,9.905254091
7/10/2020,46.44,,,46.44,,
