Security,UMG NA Equity,,,,,
Start Date,9/21/2021 0:00,,,,,
End Date,3/26/2025 0:00,,,,,
Period,D,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
5/3/2023,21.19367,-0.27283,-1.270957073,21.19367,-0.26733,-1.245654909
5/2/2023,21.4665,-0.38591,-1.765983706,21.461,-0.3859,-1.766383331
4/28/2023,21.85241,0.24725,1.144402541,21.8469,0.24174,1.118899374
4/27/2023,21.60516,-1.60302,-6.907133605,21.60516,-1.52574,-6.596111695
4/26/2023,23.20818,0.15344,0.665546434,23.1309,0.08713,0.378106534
4/25/2023,23.05474,-0.01735,-0.075199083,23.04377,-0.01729,-0.074974871
4/24/2023,23.07209,0.34556,1.52051369,23.06106,0.34551,1.521028547
4/21/2023,22.72653,-0.2274,-0.990680027,22.71555,-0.23838,-1.038514973
4/20/2023,22.95393,0.00209,0.009106024,22.95393,0.00209,0.009106024
4/19/2023,22.95184,-0.04128,-0.179531964,22.95184,-0.03031,-0.131884963
4/18/2023,22.99312,0.21978,0.96507583,22.98215,0.21972,0.965274797
4/17/2023,22.77334,-0.42317,-1.824283049,22.76243,-0.43408,-1.871315987
4/14/2023,23.19651,-0.05426,-0.233368615,23.19651,-0.05426,-0.233368615
4/13/2023,23.25077,-0.80848,-3.360370751,23.25077,-0.80848,-3.360370751
4/12/2023,24.05925,0.40842,1.726873856,24.05925,0.44112,1.867717724
4/11/2023,23.65083,0.25207,1.077279309,23.61813,0.21937,0.937528313
4/6/2023,23.39876,-1.29384,-5.239788439,23.39876,-1.29384,-5.239788439
4/5/2023,24.6926,-0.78969,-3.098975798,24.6926,-0.77874,-3.057318539
4/4/2023,25.48229,0.26337,1.044334968,25.47134,0.2633,1.044508022
4/3/2023,25.21892,-0.11128,-0.439317495,25.20804,-0.12216,-0.482270176
3/31/2023,25.3302,0.10148,0.402239987,25.3302,0.10148,0.402239987
3/30/2023,25.22872,0.23228,0.929252326,25.22872,0.23228,0.929252326
3/29/2023,24.99644,0.46099,1.878873222,24.99644,0.46641,1.901383733
3/28/2023,24.53545,0.0183,0.074641628,24.53003,0.01827,0.074535651
3/27/2023,24.51715,-0.03635,-0.148044067,24.51176,-0.03636,-0.148117249
3/24/2023,24.5535,-0.15174,-0.614201684,24.54812,-0.15712,-0.63597844
3/23/2023,24.70524,0.72954,3.042830866,24.70524,0.73494,3.06604423
3/22/2023,23.9757,-0.02264,-0.094339859,23.9703,-0.02804,-0.116841415
3/21/2023,23.99834,0.54637,2.329740316,23.99834,0.54637,2.329740316
3/20/2023,23.45197,0.63843,2.798469681,23.45197,0.64377,2.822537508
3/17/2023,22.81354,-0.12873,-0.561104023,22.8082,-0.12878,-0.56145142
3/16/2023,22.94227,0.68811,3.092051104,22.93698,0.6881,3.092739949
3/15/2023,22.25416,-0.72519,-3.15583339,22.24888,-0.73047,-3.178810541
3/14/2023,22.97935,0.12889,0.564058667,22.97935,0.12889,0.564058667
3/13/2023,22.85046,-0.35462,-1.52819986,22.85046,-0.34928,-1.505534114
3/10/2023,23.20508,-0.06432,-0.276414519,23.19974,-0.06966,-0.299363112
3/9/2023,23.2694,-0.1405,-0.600173431,23.2694,-0.1405,-0.600173431
3/8/2023,23.4099,-0.12809,-0.544184104,23.4099,-0.12809,-0.544184104
3/7/2023,23.53799,-0.18271,-0.770255515,23.53799,-0.17737,-0.747911902
3/6/2023,23.7207,0.41476,1.779632145,23.71536,0.42005,1.803152652
3/3/2023,23.30594,-0.27159,-1.151901832,23.29531,-0.26635,-1.130438178
3/2/2023,23.57753,-0.29074,-1.218102527,23.56166,-0.30661,-1.284592474
3/1/2023,23.86827,0.16386,0.691263777,23.86827,0.16916,0.713782079
2/28/2023,23.70441,-0.33336,-1.386817496,23.69911,-0.32276,-1.34360897
2/27/2023,24.03777,0.50741,2.156405597,24.02187,0.49151,2.08883332
2/24/2023,23.53036,-0.30177,-1.266231764,23.53036,-0.29648,-1.244311037
2/23/2023,23.83213,0.06792,0.285807944,23.82684,0.06795,0.28599821
2/22/2023,23.76421,0.02216,0.093336506,23.75889,0.01684,0.070929006
2/21/2023,23.74205,-0.30145,-1.25376921,23.74205,-0.30145,-1.25376921
2/20/2023,24.0435,-0.00561,-0.023327267,24.0435,-0.00027,-0.001122952
2/17/2023,24.04911,-0.33093,-1.357380874,24.04377,-0.33092,-1.357637779
2/16/2023,24.38004,0.05928,0.243742383,24.37469,0.05926,0.24371356
2/15/2023,24.32076,0.01111,0.045702015,24.31543,0.00578,0.023776566
2/14/2023,24.30965,-0.1649,-0.673761111,24.30965,-0.14347,-0.586714497
2/13/2023,24.47455,0.5729,2.396905653,24.45312,0.55147,2.307246571
2/10/2023,23.90165,-0.80493,-3.257958001,23.90165,-0.80493,-3.257958001
2/9/2023,24.70658,0.07509,0.304853665,24.70658,0.07509,0.304853665
2/8/2023,24.63149,-0.22104,-0.889406431,24.63149,-0.22104,-0.889406431
2/7/2023,24.85253,-0.45158,-1.784611275,24.85253,-0.45158,-1.784611275
2/6/2023,25.30411,-0.65965,-2.540656669,25.30411,-0.64883,-2.500025045
2/3/2023,25.96376,0.25125,0.977150811,25.95294,0.24043,0.935070127
2/2/2023,25.71251,0.39504,1.560345485,25.71251,0.39504,1.560345485
2/1/2023,25.31747,-0.18269,-0.716426877,25.31747,-0.17725,-0.695241995
1/31/2023,25.50016,-0.16272,-0.634067572,25.49472,-0.16273,-0.634240737
1/30/2023,25.66288,0.3645,1.440803719,25.65745,0.35907,1.419339894
1/27/2023,25.29838,-0.13115,-0.515738985,25.29838,-0.12572,-0.494491447
1/26/2023,25.42953,0.14385,0.568899076,25.4241,0.14387,0.569100835
1/25/2023,25.28568,-0.22642,-0.887500441,25.28023,-0.23187,-0.908862853
1/24/2023,25.5121,0.00034,0.001332719,25.5121,0.00578,0.02266105
1/23/2023,25.51176,-0.02044,-0.080055773,25.50632,-0.02588,-0.101362201
1/20/2023,25.5322,0.78519,3.172868157,25.5322,0.78519,3.172868157
1/19/2023,24.74701,-0.21334,-0.854715579,24.74701,-0.20794,-0.833261537
1/18/2023,24.96035,-0.25336,-1.004850139,24.95495,-0.25337,-1.005104664
1/17/2023,25.21371,-0.09105,-0.359813727,25.20832,-0.09103,-0.359811616
1/16/2023,25.30476,0.4924,1.984494824,25.29935,0.4924,1.984927611
1/13/2023,24.81236,-0.73704,-2.884764417,24.80695,-0.74245,-2.905939083
1/12/2023,25.5494,-0.23265,-0.902371999,25.5494,-0.22728,-0.881727205
1/11/2023,25.78205,0.45518,1.797221686,25.77668,0.44981,1.776018908
1/10/2023,25.32687,-0.04313,-0.170003942,25.32687,-0.03238,-0.127685164
1/9/2023,25.37,0.37602,1.50444227,25.35925,0.37059,1.483032704
1/6/2023,24.99398,0.22742,0.918254291,24.98866,0.2221,0.896773714
1/5/2023,24.76656,-0.19701,-0.789190008,24.76656,-0.19701,-0.789190008
1/4/2023,24.96357,0.40721,1.658266942,24.96357,0.40721,1.658266942
1/3/2023,24.55636,0.11069,0.452800026,24.55636,0.11069,0.452800026
1/2/2023,24.44567,0.33521,1.390309434,24.44567,0.34056,1.41281247
12/30/2022,24.11046,-0.32462,-1.328499845,24.10511,-0.32997,-1.350394597
12/29/2022,24.43508,0.49857,2.082885099,24.43508,0.50389,2.105578536
12/28/2022,23.93651,0.00633,0.026451953,23.93119,0.01165,0.04870495
12/27/2022,23.93018,0.20287,0.85500632,23.91954,0.19223,0.810163478
12/23/2022,23.72731,0.13334,0.565144399,23.72731,0.14393,0.610302679
12/22/2022,23.59397,-0.40669,-1.694495068,23.58338,-0.41198,-1.71691527
12/21/2022,24.00066,0.35044,1.481762115,23.99536,0.34514,1.459352175
12/20/2022,23.65022,-0.07009,-0.295485177,23.65022,-0.06478,-0.273160447
12/19/2022,23.72031,0.12418,0.52627274,23.715,0.11887,0.50376905
12/16/2022,23.59613,-0.18273,-0.768455679,23.59613,-0.17743,-0.746333322
12/15/2022,23.77886,-1.02965,-4.15039033,23.77356,-1.0243,-4.130598366
12/14/2022,24.80851,0.1074,0.434798274,24.79786,0.10206,0.413268653
12/13/2022,24.70111,0.37284,1.532538072,24.6958,0.36753,1.510711612
12/12/2022,24.32827,0.34139,1.423236369,24.32827,0.34667,1.445566601
12/9/2022,23.98688,0.16798,0.705238277,23.9816,0.1627,0.683071007
12/8/2022,23.8189,0.05348,0.225032842,23.8189,0.05348,0.225032842
12/7/2022,23.76542,-0.13354,-0.558769085,23.76542,-0.1283,-0.536961176
12/6/2022,23.89896,0.00184,0.007699673,23.89372,0.00185,0.00774322
12/5/2022,23.89712,-0.06006,-0.250697286,23.89187,-0.06531,-0.272611384
12/2/2022,23.95718,0.38248,1.622417252,23.95718,0.39299,1.667742452
12/1/2022,23.5747,0.36595,1.576776,23.56419,0.36575,1.576614634
11/30/2022,23.20875,0.20225,0.879099385,23.19844,0.19194,0.834285963
11/29/2022,23.0065,-0.14971,-0.646522034,23.0065,-0.12378,-0.535142679
11/28/2022,23.15621,-0.15843,-0.679530115,23.13028,-0.17396,-0.746473603
11/25/2022,23.31464,0.09737,0.419386086,23.30424,0.08697,0.374591845
11/24/2022,23.21727,0.86212,3.856471551,23.21727,0.8673,3.880542122
11/23/2022,22.35515,0.31656,1.436389533,22.34997,0.31138,1.412885307
11/22/2022,22.03859,0.6158,2.874508876,22.03859,0.6158,2.874508876
11/21/2022,21.42279,0.01281,0.05983191,21.42279,0.01798,0.083999811
11/18/2022,21.40998,-0.10767,-0.500379921,21.40481,-0.11284,-0.524406708
11/17/2022,21.51765,-0.28356,-1.300661752,21.51765,-0.27837,-1.277159775
11/16/2022,21.80121,-0.485,-2.176233644,21.79602,-0.49019,-2.199521588
11/15/2022,22.28621,-0.34963,-1.544585931,22.28621,-0.34963,-1.544585931
11/14/2022,22.63584,0.00754,0.033321107,22.63584,0.00754,0.033321107
11/11/2022,22.6283,1.52579,7.230372122,22.6283,1.52579,7.230372122
11/10/2022,21.10251,0.89811,4.445120865,21.10251,0.91315,4.522926928
11/9/2022,20.2044,0.19384,0.968688532,20.18936,0.1788,0.893528217
11/8/2022,20.01056,0.32134,1.63206059,20.01056,0.32134,1.63206059
11/7/2022,19.68922,0.21831,1.121211078,19.68922,0.21831,1.121211078
11/4/2022,19.47091,0.30246,1.57790536,19.47091,0.30246,1.57790536
11/3/2022,19.16845,-0.39593,-2.023728838,19.16845,-0.37024,-1.894906977
11/2/2022,19.56438,-0.18183,-0.920834935,19.53869,-0.20752,-1.05093585
11/1/2022,19.74621,0.11854,0.603943311,19.74621,0.12447,0.634347413
10/31/2022,19.62767,0.13729,0.704398785,19.62174,0.13136,0.673973519
10/28/2022,19.49038,-1.23892,-5.976661055,19.49038,-1.23393,-5.954022112
10/27/2022,20.7293,-0.42022,-1.986900885,20.72431,-0.42521,-2.010494801
10/26/2022,21.14952,0.15156,0.721784402,21.14952,0.16649,0.793450708
10/25/2022,20.99796,2.33782,12.52841619,20.98303,2.32289,12.44840607
10/24/2022,18.66014,0.06049,0.325221174,18.66014,0.06049,0.325221174
10/21/2022,18.59965,0.12099,0.654755269,18.59965,0.12296,0.665487162
10/20/2022,18.47866,-0.01033,-0.055871089,18.47669,-0.0123,-0.066526078
10/19/2022,18.48899,-0.30443,-1.619875467,18.48899,-0.28866,-1.537253064
10/18/2022,18.79342,0.35513,1.926046287,18.77765,0.36888,2.003827524
10/17/2022,18.43829,0.40946,2.271140168,18.40877,0.4363,2.427601771
10/14/2022,18.02883,0.15231,0.852011465,17.97247,0.16046,0.900852852
10/13/2022,17.87652,0.72616,4.234080218,17.81201,0.66165,3.85793651
10/12/2022,17.15036,0.30769,1.826848118,17.15036,0.31355,1.86228864
10/11/2022,16.84267,-0.19974,-1.172017338,16.83681,-0.2056,-1.206402146
10/10/2022,17.04241,-0.27751,-1.602259133,17.04241,-0.27556,-1.591179567
10/7/2022,17.31992,-1.15874,-6.270692788,17.31797,-1.15872,-6.27125313
10/6/2022,18.47866,-0.25512,-1.361818063,18.47669,-0.25709,-1.372333827
10/5/2022,18.73378,-1.32586,-6.609590202,18.73378,-1.32087,-6.586352791
10/4/2022,20.05964,1.20278,6.378474465,20.05465,1.20171,6.374125203
10/3/2022,18.85686,-0.06329,-0.33451109,18.85294,-0.06721,-0.355229742
9/30/2022,18.92015,0.6449,3.528816295,18.92015,0.65272,3.573135356
9/29/2022,18.27525,0.03549,0.194574929,18.26743,0.02767,0.151701557
9/28/2022,18.23976,0.27351,1.522354415,18.23976,0.27543,1.533204968
9/27/2022,17.96625,0.01352,0.075308881,17.96433,0.02315,0.129032762
9/26/2022,17.95273,0.02778,0.154979512,17.94118,0.04924,0.275207719
9/23/2022,17.92495,-0.11767,-0.65217801,17.89194,-0.15068,-0.8351337
