Security,SPOT US Equity,,,,,
Start Date,7/10/2020 0:00,,,,,
End Date,3/21/2025 0:00,,,,,
Period,W,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
7/22/2022,111.65,9.32,9.107788527,111.6,9.28,9.069585614
7/15/2022,102.33,-1.91,-1.832310054,102.32,-1.85,-1.77594317
7/8/2022,104.24,6.72,6.890894176,104.17,6.59,6.753433081
7/1/2022,97.52,-9.48,-8.859813084,97.58,-9.36,-8.752571535
6/24/2022,107,7.73,7.786843961,106.94,7.71,7.769827673
6/17/2022,99.27,-2.96,-2.895431869,99.23,-2.9,-2.839518261
6/10/2022,102.23,-10,-8.910273545,102.13,-10.06,-8.966931099
6/3/2022,112.23,-0.74,-0.655041161,112.19,-0.74,-0.655273178
5/27/2022,112.97,5.7,5.313694416,112.93,5.64,5.256780688
5/20/2022,107.27,1.18,1.112263173,107.29,1.22,1.150183841
5/13/2022,106.09,1.41,1.34696217,106.07,1.44,1.376278314
5/6/2022,104.68,3.03,2.980816527,104.63,2.9,2.850683181
4/29/2022,101.65,-8.56,-7.766990291,101.73,-8.47,-7.686025408
4/22/2022,110.21,-26.06,-19.12379834,110.2,-26.05,-19.11926606
4/15/2022,136.27,-5.01,-3.54614949,136.25,-4.96,-3.512499115
4/8/2022,141.28,-12.42,-8.080676643,141.21,-12.33,-8.030480657
4/1/2022,153.7,7.66,5.245138318,153.54,7.51,5.142778881
3/25/2022,146.04,1.26,0.870285951,146.03,1.25,0.86337892
3/18/2022,144.78,20.49,16.48563843,144.78,20.48,16.4762671
3/11/2022,124.29,-10.88,-8.049123326,124.3,-10.87,-8.041725235
3/4/2022,135.17,-16.74,-11.01968271,135.17,-16.71,-11.00210693
2/25/2022,151.91,-0.36,-0.236422145,151.88,-0.39,-0.25612399
2/18/2022,152.27,-9.66,-5.965540666,152.27,-9.73,-6.00617284
2/11/2022,161.93,-12.5,-7.166198475,162,-12.09,-6.944683784
2/4/2022,174.43,1.45,0.838247196,174.09,1.18,0.682435949
1/28/2022,172.98,-22.55,-11.53275712,172.91,-22.62,-11.56855725
1/21/2022,195.53,-23.03,-10.53715227,195.53,-22.91,-10.48800586
1/14/2022,218.56,-5.02,-2.245281331,218.44,-5.22,-2.333899669
1/7/2022,223.58,-10.45,-4.465239499,223.66,-10.28,-4.394289134
12/31/2021,234.03,-2.6,-1.09876178,233.94,-2.64,-1.115901598
12/24/2021,236.63,1.35,0.573784427,236.58,1.49,0.633799821
12/17/2021,235.28,2.02,0.865986453,235.09,1.94,0.83208235
12/10/2021,233.26,4.46,1.949300699,233.15,4.62,2.021616418
12/3/2021,228.8,-22.09,-8.804655427,228.53,-22.37,-8.91590275
11/26/2021,250.89,-8.66,-3.336544018,250.9,-8.64,-3.328966633
11/19/2021,259.55,-21.01,-7.48859424,259.54,-21.02,-7.49215854
11/12/2021,280.56,-8.49,-2.937208095,280.56,-8.44,-2.920415225
11/5/2021,289.05,-0.35,-0.120939876,289,-0.35,-0.120960774
10/29/2021,289.4,36.44,14.4054396,289.35,36.61,14.48524175
10/22/2021,252.96,5.56,2.247372676,252.74,5.31,2.146061512
10/15/2021,247.4,14.52,6.2349708,247.43,14.59,6.26610548
10/8/2021,232.88,3.55,1.547987616,232.84,3.76,1.641348001
10/1/2021,229.33,-0.87,-0.377932233,229.08,-1.02,-0.443285528
9/24/2021,230.2,-17.9,-7.214832729,230.1,-17.99,-7.251400701
9/17/2021,248.1,0.34,0.137229577,248.09,0.66,0.266742109
9/10/2021,247.76,-1.28,-0.513973659,247.43,-1.53,-0.614556555
9/3/2021,249.04,23.02,10.18493939,248.96,23.11,10.23245517
8/27/2021,226.02,9.38,4.329763663,225.85,9.26,4.275358973
8/20/2021,216.64,5.16,2.43994704,216.59,5.24,2.47929974
8/13/2021,211.48,-10.49,-4.725863855,211.35,-10.47,-4.720043278
8/6/2021,221.97,-6.7,-2.929986443,221.82,-6.85,-2.995583155
7/30/2021,228.67,-14.97,-6.144311279,228.67,-14.45,-5.943566963
7/23/2021,243.64,0.4,0.164446637,243.12,-0.12,-0.049333991
7/16/2021,243.24,-19.59,-7.453487045,243.24,-19.44,-7.400639561
7/9/2021,262.83,-5,-1.866855841,262.68,-5.08,-1.897221392
7/2/2021,267.83,1.45,0.54433516,267.76,1.51,0.56713615
6/25/2021,266.38,18.74,7.567436602,266.25,18.72,7.56271967
6/18/2021,247.64,3.98,1.633423623,247.53,3.85,1.579940906
6/11/2021,243.66,7.49,3.171444299,243.68,7.73,3.276117822
6/4/2021,236.17,-5.4,-2.235376909,235.95,-5.41,-2.241465031
5/28/2021,241.57,12.43,5.42463123,241.36,12.39,5.411189239
5/21/2021,229.14,5.55,2.482221924,228.97,5.33,2.383294581
5/14/2021,223.59,-15.82,-6.607911115,223.64,-14.74,-6.183404648
5/7/2021,239.41,-12.71,-5.041250198,238.38,-13.87,-5.49851338
4/30/2021,252.12,-31.99,-11.25972335,252.25,-31.53,-11.11071957
4/23/2021,284.11,-7.91,-2.708718581,283.78,-8.23,-2.81839663
4/16/2021,292.02,12.82,4.591690544,292.01,13.35,4.790784469
4/9/2021,279.2,6.1,2.233614061,278.66,5.66,2.073260073
4/2/2021,273.1,11.79,4.511882438,273,11.59,4.433648292
3/26/2021,261.31,-10.8,-3.968983132,261.41,-11.2,-4.108433293
3/19/2021,272.11,-7.78,-2.779663439,272.61,-7.18,-2.566210372
