Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Dec 12, 2023",9067.74,9186.79,9061.55,9184.73,9184.73,437600
"Dec 11, 2023",8930.94,9119.73,8927.96,9095.48,9095.48,507100
"Dec 8, 2023",8794.34,8906.64,8790.8,8887.07,8887.07,405000
"Dec 7, 2023",8740.39,8861.9,8719.44,8847.0,8847.0,465800
"Dec 6, 2023",8824.41,8830.03,8679.9,8686.94,8686.94,332400
"Dec 5, 2023",8690.52,8750.91,8665.54,8749.09,8749.09,347800
"Dec 4, 2023",8785.59,8791.24,8637.88,8767.82,8767.82,406500
"Dec 1, 2023",8797.75,8883.24,8759.92,8878.94,8878.94,381700
"Nov 30, 2023",8898.31,8924.81,8765.49,8850.47,8850.47,476800
"Nov 29, 2023",8872.32,8963.51,8863.59,8874.27,8874.27,380200
"Nov 28, 2023",8661.84,8753.15,8661.15,8739.96,8739.96,346600
"Nov 27, 2023",8662.55,8743.48,8642.86,8677.03,8677.03,334300
"Nov 24, 2023",8653.83,8693.02,8643.6,8692.1,8692.1,166700
"Nov 22, 2023",8718.37,8781.11,8662.79,8672.38,8672.38,372700
"Nov 21, 2023",8684.99,8709.26,8631.95,8671.45,8671.45,357900
"Nov 20, 2023",8639.63,8780.86,8639.09,8758.75,8758.75,395600
"Nov 17, 2023",8549.19,8637.61,8549.19,8619.83,8619.83,393600
"Nov 16, 2023",8513.6,8600.95,8510.3,8579.1,8579.1,443700
"Nov 15, 2023",8617.77,8657.75,8543.64,8575.3,8575.3,399400
"Nov 14, 2023",8466.36,8578.61,8460.0,8562.47,8562.47,432600
"Nov 13, 2023",8272.15,8314.17,8232.07,8289.88,8289.88,310100
"Nov 10, 2023",8116.3,8331.58,8104.76,8323.83,8323.83,427400
"Nov 9, 2023",8158.98,8223.92,8055.13,8065.14,8065.14,423000
"Nov 8, 2023",8107.65,8156.4,8070.8,8121.16,8121.16,344800
"Nov 7, 2023",8037.2,8148.67,7999.3,8103.45,8103.45,406300
"Nov 6, 2023",7995.73,8003.12,7873.97,7946.66,7946.66,360900
"Nov 3, 2023",7825.13,8019.49,7820.9,7976.96,7976.96,468000
"Nov 2, 2023",7836.64,7854.23,7759.11,7838.19,7838.19,451000
"Nov 1, 2023",7632.18,7720.82,7584.52,7715.48,7715.48,512200
"Oct 31, 2023",7568.77,7622.3,7484.55,7610.08,7610.08,397700
"Oct 30, 2023",7575.56,7610.17,7494.64,7548.65,7548.65,403400
"Oct 27, 2023",7616.58,7648.57,7553.42,7579.22,7579.22,466600
"Oct 26, 2023",7623.79,7691.19,7485.81,7528.82,7528.82,529700
"Oct 25, 2023",7800.58,7806.54,7582.56,7599.63,7599.63,539100
"Oct 24, 2023",7834.61,7909.24,7793.37,7884.52,7884.52,389100
"Oct 23, 2023",7761.86,7891.3,7689.46,7784.73,7784.73,382000
"Oct 20, 2023",7932.6,7957.73,7782.72,7801.0,7801.0,407000
"Oct 19, 2023",8113.5,8116.67,7923.48,7946.53,7946.53,393800
"Oct 18, 2023",8076.08,8136.33,8025.17,8048.35,8048.35,364300
"Oct 17, 2023",8055.22,8212.71,8035.29,8167.07,8167.07,379900
"Oct 16, 2023",8102.44,8211.49,8099.39,8179.34,8179.34,329000
"Oct 13, 2023",8238.35,8240.45,8043.64,8074.41,8074.41,365900
"Oct 12, 2023",8274.32,8341.24,8162.28,8223.82,8223.82,381000
"Oct 11, 2023",8246.3,8287.68,8187.04,8259.81,8259.81,335200
"Oct 10, 2023",8149.45,8281.49,8139.76,8216.13,8216.13,333000
"Oct 9, 2023",8028.02,8145.24,7998.19,8126.18,8126.18,303100
"Oct 6, 2023",7821.5,8125.11,7798.79,8093.7,8093.7,406300
"Oct 5, 2023",7904.44,7911.05,7784.67,7873.29,7873.29,322600
"Oct 4, 2023",7842.12,7925.36,7799.86,7907.02,7907.02,355600
"Oct 3, 2023",7927.38,8006.2,7760.53,7800.08,7800.08,368500
"Oct 2, 2023",7955.87,8046.14,7925.26,7997.33,7997.33,328000
"Sep 29, 2023",8021.27,8061.96,7923.89,7939.24,7939.24,379100
"Sep 28, 2023",7758.41,7968.27,7737.46,7901.66,7901.66,416000
"Sep 27, 2023",7808.8,7864.43,7714.02,7812.89,7812.89,396000
"Sep 26, 2023",7822.55,7835.23,7723.12,7753.67,7753.67,364600
"Sep 25, 2023",7810.83,7878.52,7786.48,7877.51,7877.51,296000
"Sep 22, 2023",7852.2,7935.81,7832.35,7855.83,7855.83,-
"Sep 21, 2023",7862.61,7909.25,7793.51,7794.94,7794.94,-
"Sep 20, 2023",8095.82,8138.36,7954.77,7955.84,7955.84,378100
"Sep 19, 2023",8080.51,8094.07,7999.15,8077.8,8077.8,327700
"Sep 18, 2023",8042.32,8145.8,8041.11,8126.2,8126.2,340200
"Sep 15, 2023",8244.23,8252.24,8054.02,8087.28,8087.28,637000
"Sep 14, 2023",8304.95,8328.37,8216.21,8304.0,8304.0,344000
"Sep 13, 2023",8221.86,8303.3,8211.67,8243.21,8243.21,354800
"Sep 12, 2023",8256.18,8348.69,8221.3,8221.6,8221.6,375400
"Sep 11, 2023",8339.7,8351.7,8244.38,8339.63,8339.63,363100
"Sep 8, 2023",8269.14,8319.58,8240.27,8264.27,8264.27,373700
"Sep 7, 2023",8229.89,8300.63,8181.99,8280.9,8280.9,486100
"Sep 6, 2023",8368.42,8444.32,8307.17,8376.86,8376.86,375900
"Sep 5, 2023",8334.08,8438.37,8313.27,8402.31,8402.31,355300
"Sep 1, 2023",8378.38,8405.9,8317.24,8373.53,8373.53,344900
"Aug 31, 2023",8251.08,8353.82,8250.95,8323.5,8323.5,465200
"Aug 30, 2023",8157.9,8243.09,8125.17,8231.31,8231.31,409500
"Aug 29, 2023",7946.26,8175.43,7940.37,8163.89,8163.89,437800
"Aug 28, 2023",7952.46,7984.08,7901.41,7951.0,7951.0,341500
"Aug 25, 2023",7803.26,7924.49,7729.81,7896.52,7896.52,455600
"Aug 24, 2023",8135.17,8135.5,7792.29,7796.57,7796.57,534000
"Aug 23, 2023",7868.09,8046.33,7866.99,8020.14,8020.14,392700
"Aug 22, 2023",7989.85,7990.0,7854.54,7874.05,7874.05,351500
"Aug 21, 2023",7805.92,7930.86,7804.17,7915.82,7915.82,417200
"Aug 18, 2023",7610.98,7759.07,7601.8,7732.52,7732.52,420500
"Aug 17, 2023",7842.52,7842.72,7695.54,7705.63,7705.63,403400
"Aug 16, 2023",7893.18,7922.7,7793.81,7795.55,7795.55,360100
"Aug 15, 2023",7992.95,8007.42,7889.69,7905.43,7905.43,347600
"Aug 14, 2023",7839.51,8034.96,7834.4,8034.49,8034.49,389200
"Aug 11, 2023",7903.17,7962.95,7866.76,7886.57,7886.57,356400
"Aug 10, 2023",8070.81,8165.58,7953.93,8004.93,8004.93,367600
"Aug 9, 2023",8077.41,8084.76,7943.79,7974.86,7974.86,385100
"Aug 8, 2023",8042.26,8087.61,7970.92,8075.65,8075.65,412600
"Aug 7, 2023",8222.08,8239.71,8147.89,8226.76,8226.76,397500
"Aug 4, 2023",8248.56,8294.22,8135.68,8171.31,8171.31,-
"Aug 3, 2023",8187.22,8299.0,8173.23,8263.06,8263.06,395200
"Aug 2, 2023",8459.23,8459.23,8204.65,8256.74,8256.74,-
"Aug 1, 2023",8523.77,8615.05,8496.2,8597.36,8597.36,333300
"Jul 31, 2023",8569.58,8616.69,8542.69,8587.41,8587.41,370200
"Jul 28, 2023",8480.55,8535.54,8443.0,8522.97,8522.97,467700
"Jul 27, 2023",8467.77,8525.18,8311.61,8351.02,8351.02,534000
"Jul 26, 2023",8242.97,8321.89,8204.87,8271.05,8271.05,478100
"Jul 25, 2023",8250.75,8361.55,8250.75,8323.08,8323.08,371000
"Jul 24, 2023",8232.77,8252.83,8150.37,8200.72,8200.72,347600
"Jul 21, 2023",8236.79,8289.49,8188.95,8212.57,8212.57,735000
"Jul 20, 2023",8334.59,8366.42,8134.27,8155.17,8155.17,477000
"Jul 19, 2023",8516.14,8537.66,8413.88,8441.78,8441.78,444700
"Jul 18, 2023",8417.53,8500.02,8359.62,8474.95,8474.95,426900
"Jul 17, 2023",8283.09,8474.65,8265.51,8442.15,8442.15,403700
"Jul 14, 2023",8331.49,8399.22,8262.21,8286.71,8286.71,447300
"Jul 13, 2023",8223.01,8340.91,8215.77,8326.95,8326.95,419100
"Jul 12, 2023",8192.14,8193.89,8081.79,8142.29,8142.29,460200
"Jul 11, 2023",8084.02,8095.71,7981.49,8075.32,8075.32,357100
"Jul 10, 2023",7892.93,8059.78,7892.53,8054.85,8054.85,434500
"Jul 7, 2023",7885.72,7983.69,7872.92,7884.12,7884.12,332200
"Jul 6, 2023",7872.46,7888.28,7795.28,7882.23,7882.23,379900
"Jul 5, 2023",8016.77,8055.54,7990.01,7995.85,7995.85,355800
"Jul 3, 2023",8056.14,8079.99,8009.88,8073.74,8073.74,207900
"Jun 30, 2023",8013.28,8078.74,8006.4,8048.9,8048.9,439600
"Jun 29, 2023",7966.15,7966.25,7887.1,7937.73,7937.73,384400
"Jun 28, 2023",7901.21,8014.0,7888.41,7954.44,7954.44,406400
"Jun 27, 2023",7785.86,7987.78,7773.95,7970.22,7970.22,417400
"Jun 26, 2023",7778.5,7887.27,7744.85,7746.33,7746.33,415500
"Jun 23, 2023",7754.57,7805.57,7718.33,7763.61,7763.61,501600
"Jun 22, 2023",7758.92,7885.19,7754.63,7876.44,7876.44,386700
"Jun 21, 2023",7978.09,7990.5,7814.22,7818.08,7818.08,468200
"Jun 20, 2023",8025.31,8080.68,7939.94,8007.09,8007.09,426900
"Jun 16, 2023",8227.48,8232.25,8077.59,8081.74,8081.74,775200
"Jun 15, 2023",8044.07,8205.8,8034.24,8164.64,8164.64,519400
